Model Year,Mfr Name,Division,Carline,Engine Displacement,Cylinder,Transmission,City FE ,Highway FE,Combined FE,Air Aspiration Method,Transmission Desc,Gears,Drive Desc,Fuel Usage Desc,Carline Class Desc
2020,Honda,Acura,NSX,3.5,6,Auto(AM-S9),21,22,21,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),9,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2020,FCA US LLC,ALFA ROMEO,4C,1.8,4,Auto(AM6),24,34,28,Turbocharged,Automated Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,aston martin,Aston Martin Lagonda Ltd,Vantage Manual,4,8,Manual(M7),14,21,17,Turbocharged,Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,aston martin,Aston Martin Lagonda Ltd,Vantage V8,4,8,Auto(S8),18,24,20,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Volkswagen Group of,Audi,R8,5.2,10,Auto(AM-S7),13,20,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2020,Volkswagen Group of,Audi,R8 Spyder,5.2,10,Auto(AM-S7),13,20,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2020,Volkswagen Group of,Audi,TT Roadster quattro,2,4,Auto(AM-S7),23,31,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Two Seaters
2020,BMW,BMW,Z4 M40i,3,6,Auto(S8),24,31,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,BMW,BMW,Z4 sDrive30i,2,4,Auto(S8),24,32,27,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Volkswagen Group of,Bugatti,Chiron,8,16,Auto(AM-S7),9,14,11,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2020,Volkswagen Group of,Bugatti,Divo,8,16,Auto(AM-S7),9,13,10,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2020,General Motors,Chevrolet,CORVETTE,6.2,8,Auto(S8),15,27,19,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2020,Ferrari,"Ferrari North America, Inc.",488 Pista,3.9,8,Auto(AM7),15,20,17,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2020,Ferrari,"Ferrari North America, Inc.",488 Pista Spider,3.9,8,Auto(AM7),15,19,17,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2020,Ferrari,"Ferrari North America, Inc.",812 Superfast,6.5,12,Auto(AM7),12,16,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2020,Ferrari,"Ferrari North America, Inc.",F8 Tributo,3.9,8,Auto(AM7),15,19,16,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2020,FCA US LLC,FIAT,124 Spider,1.4,4,Auto(A6),25,36,29,Turbocharged,Automatic,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,FCA US LLC,FIAT,124 Spider,1.4,4,Manual(M6),26,35,30,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Ford Motor Company,Ford,FORD GT,3.5,6,Auto(AM7),12,18,14,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE AWD Convertible,5,8,Auto(S8),16,24,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE AWD Coupe,5,8,Auto(S8),16,24,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,2,4,Auto(S8),23,30,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,3,6,Auto(S8),20,28,23,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,2,4,Auto(S8),23,30,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,3,6,Auto(S8),20,28,23,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Convertible,3,6,Auto(S8),18,26,21,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Coupe,3,6,Auto(S8),18,26,21,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible,3,6,Auto(S8),19,27,22,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE S Coupe,3,6,Auto(S8),19,27,22,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE SVR AWD Convertible,5,8,Auto(S8),16,24,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Jaguar Land Rover L,Jaguar,F-TYPE SVR AWD Coupe,5,8,Auto(S8),16,24,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2020,Volkswagen Group of,Lamborghini,Aventador Coupe,6.5,12,Auto(AM-S7),9,15,11,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2020,Volkswagen Group of,Lamborghini,Aventador Roadster,6.5,12,Auto(AM-S7),9,15,11,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2020,Volkswagen Group of,Lamborghini,Huracan,5.2,10,Auto(AM-S7),13,18,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2020,Volkswagen Group of,Lamborghini,Huracan 2WD,5.2,10,Auto(AM-S7),13,18,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2020,Volkswagen Group of,Lamborghini,Huracan Spyder,5.2,10,Auto(AM-S7),13,18,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2020,Volkswagen Group of,Lamborghini,Huracan Spyder 2WD,5.2,10,Auto(AM-S7),13,18,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2020,MAZDA,MAZDA,MX-5,2,4,Auto(S6),26,35,30,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,MAZDA,MAZDA,MX-5,2,4,Manual(M6),26,34,29,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,McLaren Automotive ,McLaren,570S Coupe,3.8,8,Auto(AM-S7),15,22,18,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,McLaren Automotive ,McLaren,570S Spider,3.8,8,Auto(AM-S7),15,22,18,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,McLaren Automotive ,McLaren,600LT Spider,3.8,8,Auto(AM-S7),15,22,18,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2020,McLaren Automotive ,McLaren,620R Coupe,3.8,8,Auto(AM-S7),15,22,18,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
