Model Year,Mfr Name,Division,Carline,Engine Displacement,Cylinder,Transmission,City FE ,Highway FE,Combined FE,Air Aspiration Method,Transmission Desc,Gears,Drive Desc,Fuel Usage Desc,Carline Class Desc
2015,Maserati,MASERATI,Ghibli V6,3,6,Auto(A8),15,25,19,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Midsize Cars
2015,Maserati,MASERATI,Ghibli V6 AWD,3,6,Auto(A8),15,25,18,Turbocharged,Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Required),Midsize Cars
2015,MAZDA,MAZDA,MAZDA 6,2.5,4,Auto(S6),28,40,32,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,MAZDA,MAZDA,MAZDA 6,2.5,4,Auto(S6),26,38,30,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,MAZDA,MAZDA,MAZDA 6,2.5,4,Manual,25,37,29,Naturally Aspirated,Manual,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,MAZDA,MAZDA,MAZDA3 5-Door,2,4,Auto(S6),30,40,33,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,MAZDA,MAZDA,MAZDA3 5-Door,2,4,Manual,29,40,33,Naturally Aspirated,Manual,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,MAZDA,MAZDA,MAZDA3 5-Door,2.5,4,Auto(S6),28,39,32,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,MAZDA,MAZDA,MAZDA3 5-Door,2.5,4,Auto(S6),27,37,31,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,MAZDA,MAZDA,MAZDA3 5-Door,2.5,4,Manual,26,35,29,Naturally Aspirated,Manual,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Mercedes-Benz,Mercedes-Benz,E 350,3.5,6,Auto(A7),20,29,23,Naturally Aspirated,Automatic,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Midsize Cars
2015,Mercedes-Benz,Mercedes-Benz,E 350,3.5,6,Auto(A7),20,29,23,Naturally Aspirated,Automatic,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Midsize Cars
2015,Mercedes-Benz,Mercedes-Benz,E 350 4MATIC,3.5,6,Auto(A7),20,28,23,Naturally Aspirated,Automatic,7,4-Wheel Drive,Gasoline (Premium Unleaded Required),Midsize Cars
2015,Mercedes-Benz,Mercedes-Benz,E 350 4MATIC,3.5,6,Auto(A7),20,28,23,Naturally Aspirated,Automatic,7,4-Wheel Drive,Gasoline (Premium Unleaded Required),Midsize Cars
2015,Mercedes-Benz,Mercedes-Benz,E 400,3,6,Auto(A7),20,29,23,Turbocharged,Automatic,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Midsize Cars
2015,Mercedes-Benz,Mercedes-Benz,E 400 4MATIC,3,6,Auto(A7),20,28,23,Turbocharged,Automatic,7,4-Wheel Drive,Gasoline (Premium Unleaded Required),Midsize Cars
2015,Mercedes-Benz,Mercedes-Benz,E 400 Hybrid,3.5,6,Auto(A7),24,29,26,Naturally Aspirated,Automatic,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Midsize Cars
2015,Mercedes-Benz,Mercedes-Benz,E 63 AMG 4MATIC,5.5,8,Auto(A7),16,23,19,Turbocharged,Automatic,7,4-Wheel Drive,Gasoline (Premium Unleaded Required),Midsize Cars
2015,Mercedes-Benz,Mercedes-Benz,E 63 AMG S 4MATIC,5.5,8,Auto(A7),15,22,18,Turbocharged,Automatic,7,4-Wheel Drive,Gasoline (Premium Unleaded Required),Midsize Cars
2015,Nissan,NISSAN,ALTIMA,2.5,4,Auto(AV),27,38,31,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Nissan,NISSAN,ALTIMA,3.5,6,Automatic,22,32,26,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),7,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Nissan,NISSAN,SENTRA,1.8,4,Auto(AV),29,39,33,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
