Model Year,Mfr Name,Division,Carline,Engine Displacement,Cylinder,Transmission,City FE ,Highway FE,Combined FE,Air Aspiration Method,Transmission Desc,Gears,Drive Desc,Fuel Usage Desc,Carline Class Desc
2023,aston martin,Aston Martin Lagonda Ltd,V12 Vantage,5.2,12,Auto(A8),14,22,16,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2023,aston martin,Aston Martin Lagonda Ltd,Vantage V8,4,8,Auto(A8),18,24,20,Turbocharged,Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2023,Volkswagen Group of,Audi,R8 Coupe quattro,5.2,10,Auto(AM-S7),13,18,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2023,Volkswagen Group of,Audi,R8 Coupe RWD,5.2,10,Auto(AM-S7),14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Volkswagen Group of,Audi,R8 GT RWD,5.2,10,Auto(AM-S7),14,21,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Volkswagen Group of,Audi,R8 Spyder quattro,5.2,10,Auto(AM-S7),13,18,15,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2023,Volkswagen Group of,Audi,R8 Spyder RWD,5.2,10,Auto(AM-S7),14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Volkswagen Group of,Audi,TT Roadster,2,4,Auto(AM-S7),23,30,25,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Two Seaters
2023,BMW,BMW,Z4 M40i,3,6,Auto(S8),23,31,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2023,BMW,BMW,Z4 sDrive30i,2,4,Auto(S8),25,33,28,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2023,Volkswagen Group of,Bugatti,Chiron,8,16,Auto(AM-S7),9,14,11,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2023,Volkswagen Group of,Bugatti,Chiron Pur Sport,8,16,Auto(AM-S7),8,11,9,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2023,Volkswagen Group of,Bugatti,Chiron Super Sport,8,16,Auto(AM-S7),8,11,9,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2023,General Motors,Chevrolet,CORVETTE,6.2,8,Auto(S8),16,24,19,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,General Motors,Chevrolet,CORVETTE Z06,5.5,8,Auto(S8),12,21,15,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,General Motors,Chevrolet,CORVETTE Z06 CARBON AERO,5.5,8,Auto(S8),12,19,14,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Ferrari,"Ferrari North America, Inc.",812 Competizione,6.5,12,Auto(AM7),12,16,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Ferrari,"Ferrari North America, Inc.",812 Competizione A,6.5,12,Auto(AM7),12,16,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Ferrari,"Ferrari North America, Inc.",812 GTS,6.5,12,Auto(AM7),12,15,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Ferrari,"Ferrari North America, Inc.",F8 Spider,3.9,8,Auto(AM7),15,18,16,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Ferrari,"Ferrari North America, Inc.",F8 Tributo,3.9,8,Auto(AM7),15,19,16,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Ferrari,"Ferrari North America, Inc.",Ferrari Daytona SP3,6.5,12,Auto(AM7),12,16,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Ferrari,"Ferrari North America, Inc.",Ferrari Monza SP1,6.5,12,Auto(AM7),12,15,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Ferrari,"Ferrari North America, Inc.",Ferrari Monza SP2,6.5,12,Auto(AM7),12,15,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2023,Jaguar Land Rover L,Jaguar,F-TYPE P450 AWD R-Dynamic Conv,5,8,Auto(S8),16,24,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
