Model Year,Mfr Name,Division,Carline,Engine Displacement,Cylinder,Transmission,City FE ,Highway FE,Combined FE,Air Aspiration Method,Transmission Desc,Gears,Drive Desc,Fuel Usage Desc,Carline Class Desc
2016,FCA US LLC,ALFA ROMEO,4C,1.8,4,Auto(AM6),24,34,28,Turbocharged,Automated Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,aston martin,Aston Martin Lagonda Ltd,V12 Vantage S,6,12,Auto(AM7),12,18,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Auto(AM7),14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Manual(M6),13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Auto(AM7),14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Manual(M6),13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,aston martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Auto(AM7),14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,aston martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Manual(M6),13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Volkswagen Group of,Audi,TT Roadster quattro,2,4,Auto(AM-S6),23,30,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Two Seaters
2016,BMW,BMW,M4 GTS,3,6,Auto(AM-S7),16,23,19,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,BMW,BMW,Z4 sDrive28i,2,4,Auto(S8),22,33,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,BMW,BMW,Z4 sDrive28i,2,4,Manual(M6),22,34,26,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,BMW,BMW,Z4 sDrive35i,3,6,Auto(AM-S7),17,24,20,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,BMW,BMW,Z4 sDrive35is,3,6,Auto(AM-S7),17,24,20,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,General Motors,Chevrolet,CORVETTE,6.2,8,Auto(S8),13,23,16,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,General Motors,Chevrolet,CORVETTE,6.2,8,Auto(S8),16,29,20,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,General Motors,Chevrolet,CORVETTE,6.2,8,Manual(M7),15,22,18,Supercharged,Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,General Motors,Chevrolet,CORVETTE,6.2,8,Manual(M7),17,29,21,Naturally Aspirated,Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,FCA US LLC,Dodge,Viper SRT,8.4,10,Manual(M6),12,21,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Ferrari,"Ferrari North America, Inc.",488 GTB,3.9,8,Auto(AM7),15,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,Ferrari,"Ferrari North America, Inc.",488 GTB,3.9,8,Auto(AM7),16,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,Ferrari,"Ferrari North America, Inc.",488 Spider,3.9,8,Auto(AM7),15,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,Ferrari,"Ferrari North America, Inc.",488 Spider,3.9,8,Auto(AM7),16,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,Ferrari,"Ferrari North America, Inc.",F12,6.3,12,Auto(AM7),11,16,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,Ferrari,"Ferrari North America, Inc.",F12,6.3,12,Auto(AM7),12,16,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,Ferrari,"Ferrari North America, Inc.",F12 tdf,6.3,12,Auto(AM7),12,17,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,Ferrari,"Ferrari North America, Inc.",F12 tdf,6.3,12,Auto(AM7),11,15,12,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,Ferrari,"Ferrari North America, Inc.",F60 America,6.3,12,Auto(AM7),12,15,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,Ferrari,"Ferrari North America, Inc.",F60 America,6.3,12,Auto(AM7),11,15,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2016,Honda,Honda,CR-Z,1.5,4,Auto(AV-S7),36,39,37,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),7,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Two Seaters
2016,Honda,Honda,CR-Z,1.5,4,Manual(M6),31,38,34,Naturally Aspirated,Manual,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Two Seaters
2016,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,3,6,Auto(S8),19,28,22,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Jaguar Land Rover L,Jaguar,F-TYPE Convertible Manual,3,6,Manual(M6),16,24,19,Supercharged,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,3,6,Auto(S8),19,28,22,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Jaguar Land Rover L,Jaguar,F-TYPE Coupe Manual,3,6,Manual(M6),16,24,19,Supercharged,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Convertible,5,8,Auto(S8),15,23,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Coupe,5,8,Auto(S8),15,23,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Jaguar Land Rover L,Jaguar,F-TYPE R Convertible,5,8,Auto(S8),16,23,18,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Convertible,3,6,Auto(S8),18,26,21,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Coupe,3,6,Auto(S8),18,26,21,Supercharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible,3,6,Auto(S8),19,27,22,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2016,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible Manual,3,6,Manual(M6),15,24,18,Supercharged,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
